0 0.0000
5000 298.4160
10000 308.9861
15000 293.9783
20000 298.8191
25000 309.1223
30000 300.3785
35000 302.5596
40000 302.4662
45000 288.8515
50000 290.3505
55000 303.8532
60000 297.0884
65000 289.5827
70000 301.7455
75000 309.7689
80000 300.7549
85000 298.3041
90000 291.1936
95000 310.5844
100000 300.0738
105000 294.2294
110000 312.7653
115000 289.1175
120000 298.3492
125000 294.7959
130000 300.7835
135000 305.5207
140000 290.9423
145000 297.7816
150000 298.2079
155000 304.3284
160000 294.8270
165000 284.2903
170000 298.8723
175000 298.0727
180000 298.9670
185000 308.0137
190000 308.6163
195000 300.6876
200000 293.4957
205000 305.6098
210000 290.0899
215000 300.9169
220000 298.4120
225000 298.1575
230000 281.4998
235000 301.7358
240000 299.7312
245000 293.0236
250000 299.3747
255000 293.6541
260000 297.3714
265000 306.2984
270000 297.4038
275000 287.5313
280000 307.2850
285000 306.2967
290000 287.3010
295000 309.8985
300000 296.9779
305000 292.7960
310000 304.5881
315000 305.3907
320000 299.5672
325000 303.7208
330000 304.9934
335000 299.1089
340000 295.8165
345000 308.3898
350000 302.5516
355000 307.3635
360000 308.9227
365000 294.6068
370000 308.5327
375000 301.6017
380000 296.7206
385000 302.4061
390000 299.9842
395000 301.7506
400000 293.5295
405000 297.3425
410000 310.5344
415000 297.8221
420000 304.4264
425000 305.2525
430000 301.0810
435000 295.9510
440000 310.8269
445000 304.1491
450000 309.7094
455000 302.0216
460000 297.6285
465000 295.0391
470000 291.3250
475000 288.6695
480000 310.4176
485000 293.0576
490000 305.6498
495000 284.3029
500000 294.8699

